"OTUID"	"Taxonomy"	"SUM_Abundance"
"d3ccc56d4467f27008f7b71b2d9d91d0"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium"	431
"9f32c34ac80c28101d8d58d0b17ddd9a"	"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales_Selenomonadales;f__Veillonellaceae;g__Dialister"	209
"ef71b16d6da19b4558e5d02c51fe298a"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Massiliomicrobiota_timonensis"	89
"08ebdd3de85c89c2ab4212cc9b046782"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia"	265
"00cd1e76826621ceaf374683bf83f8a3"	"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella"	127
"b05b59bf2a816cf4d1655d3d34a06f90"	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus"	103
"ce4a164964829edfcdd80a7081e26217"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG_352"	890
"de9449ba54c5ee7ee268709276d4ec95"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella"	86
"4080331b52e02d60cabcd49e28541324"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas"	29
"ab87e877971b5dd52ce8d76a5647bdd3"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella"	32
"156f8cc53f5507559a7cb50aaae5ef4f"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia"	178
"c684492de5864e145aec85ba05996dce"	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pullorum"	676
"949c6df4c30050173ec51fdfff3301ba"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae"	377
"1bde84fb415a7b4f255f46af59f365f7"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia"	630
"4f936ca6f6cefe984eb8d042ff4f8689"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas"	26
"de326415d7da08cec9a721520eee87f5"	"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia"	169
